event kruskal_pval
ENSG00000003989;MX:chr8:17409495-17412069:17412208-17415804:17409495-17412455:17412591-17415804:+ 0.0924802261239986
ENSG00000006638;A5:chr19:3595931-3599847:3595931-3600236:- 0.220957269855067
ENSG00000042062;AF:chr20:49247393-49253118:49253426:49247393-49307663:49308065:- 0.590667563479093
ENSG00000065613;SE:chr10:105768114-105770574:105770666-105777918:+ 0.000146751486631534
ENSG00000110063;SE:chr11:126201445-126208181:126208294-126213202:+ 0.000123227971415776
ENSG00000113905;A3:chr3:186386840-186387376:186386840-186387727:+ 0.134213678448846
ENSG00000113905;RI:chr3:186390576:186390656-186392878:186392979:+ 0.134213678448846
ENSG00000115310;AF:chr2:55214834-55237223:55237585:55214834-55276881:55277680:- 6.28681649933895e-07
ENSG00000126562;SE:chr17:40939560-40939796:40939917-40940148:+ 0.0450476481564538
ENSG00000130812;A5:chr19:10204295-10204369:10204295-10204489:- 0.121273796371698
ENSG00000132207;SE:chr16:30206112-30206207:30206548-30208295:+ 0.409266965109788
ENSG00000133027;AF:chr17:17480341-17485581:17485745:17480341-17494845:17495014:- 0.00075655690947715
ENSG00000135363;A3:chr11:33886475-33890892:33886363-33890892:- 0.466092718977674
ENSG00000138028;AL:chr2:27321757:27322708-27324965:27323466:27324756-27324965:- 7.90905929275859e-06
ENSG00000138028;SE:chr2:27325459-27327155:27327245-27333541:- 0.0726553736107346
ENSG00000138030;MX:chr2:27315316-27317345:27317479-27319597:27315316-27317668:27317802-27319597:+ 2.2573249821296e-06
ENSG00000138030;SE:chr2:27317479-27317668:27317802-27319597:+ 0.0027873237859718
ENSG00000138768;SE:chr4:76715054-76716489:76716509-76720775:+ 0.0830372216665579
ENSG00000139344;AF:chr12:96337071:96337313-96346495:96340834:96341215-96346495:+ 0.00034800256305639
ENSG00000139547;SE:chr12:57346774-57348690:57348948-57350934:- 0.00894027898264245
ENSG00000143819;AF:chr1:225997794:225997871-226016426:226013055:226013245-226016426:+ 0.00483770909793493
ENSG00000143819;AF:chr1:225997797:225997871-226016426:226013055:226013245-226016426:+ 6.48039416101243e-06
ENSG00000143819;AF:chr1:225997836:225998317-226016426:226013055:226013245-226016426:+ 1.94737463678634e-06
ENSG00000146963;AF:chr7:139044654:139045068-139060808:139059160:139059217-139060808:+ 0.565792621164861
ENSG00000148180;A5:chr9:124089070-124089586:124088960-124089586:+ 0.493673947837472
ENSG00000148690;SE:chr10:95430605-95431799:95431846-95436410:- 0.0176553190829267
ENSG00000152492;SE:chr3:191087825-191092851:191093378-191097948:+ 0.879681986328352
ENSG00000159200;AF:chr21:35896008-35898961:35899261:35896008-35987059:35987441:- 0.366762499880084
ENSG00000159200;AF:chr21:35896008-35986086:35986142:35896008-35987059:35987441:- 0.343336153753978
ENSG00000165152;SE:chr9:104239451-104242953:104243007-104249231:- 0.642397176939667
ENSG00000165671;AF:chr5:176560601:176560635-176562088:176560926:176560953-176562088:+ 0.29016900699186
ENSG00000166840;AF:chr11:58706957:58707123-58711016:58710722:58710795-58711016:+ 0.779704863816099
ENSG00000169764;AF:chr2:64068074:64068366-64083440:64068844:64069338-64083440:+ 0.0246648646265823
ENSG00000169764;AF:chr2:64068074:64068366-64083440:64069459:64069571-64083440:+ 0.185630587359476
ENSG00000170509;SE:chr4:88238375-88239481:88239588-88243784:- 0.266124005269365
ENSG00000182871;A5:chr21:46876795-46888156:46876090-46888156:+ 0.00031482149670073
ENSG00000184076;A5:chr22:30163596-30165667:30163537-30165667:+ 0.0924783065124155
ENSG00000197165;RI:chr16:28606688:28606785-28606871:28606996:- 0.00508621347545464
ENSG00000198682;SE:chr10:89475600-89481513:89481527-89487041:+ 0.00115781734700999
ENSG00000205403;SE:chr4:110673659-110678919:110678939-110681426:- 0.313783866203407
ENSG00000205403;SE:chr4:110678939-110679092:110679115-110681426:- 0.207623092655314
ENSG00000213853;AF:chr16:10641534-10652851:10653011:10641534-10674406:10674555:- 0.972697303877605
ENSG00000214274;AF:chr14:21152336:21152917-21161706:21156932:21157033-21161706:+ 0.000507242766340085
ENSG00000244242;SE:chr11:1769349-1770245:1770356-1771589:- 0.564169579874986
ENSG00000257923;AF:chr7:101460882:101460949-101559395:101462201:101462259-101559395:+ 0.307360516745952
