Gen 	Lenght	EffectiveLenght	TPMs	NumReads
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12666.544	0.000000	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12815.297	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12786.627	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12729.630	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12886.892	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12733.178	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12637.830	0.406251	68.369
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12763.759	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12576.417	0.000010	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12853.730	0.000003	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12805.974	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12888.788	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12969.106	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12803.039	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12448.087	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12739.165	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12690.196	0.114833	22.593
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12844.924	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12601.407	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12576.890	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12741.750	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12510.171	0.339636	73.874
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12608.137	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12363.094	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12786.738	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12485.830	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12748.647	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12809.442	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12646.553	0.294374	42.298
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12702.329	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12748.628	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12855.243	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12563.790	0.000003	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12694.146	0.000002	0.000
