Gen 	Lenght	EffectiveLenght	TPMs	NumReads
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12715.813	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12641.172	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12672.450	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12548.983	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12836.642	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12730.981	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12505.999	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12698.098	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12710.629	0.119410	23.348
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12769.062	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12713.536	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12708.269	0.061456	10.944
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12723.217	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12331.270	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12685.616	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12762.340	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12866.299	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12551.381	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12664.087	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12602.399	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12687.068	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12590.353	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12404.943	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12659.047	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12578.009	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12528.552	0.000001	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12663.273	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12680.461	0.492120	70.849
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12911.744	0.057959	12.673
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12691.157	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12564.354	0.000002	0.000
ENSG00000165671|ENST00000439151|NSD1|protein_coding|protein_coding	12892	12825.387	0.000001	0.000
