Gen 	Lenght	EffectiveLenght	TPMs	NumReads
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12772.730	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12817.012	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12708.535	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12743.700	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12690.658	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12706.960	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12757.901	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12720.716	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12701.507	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12731.774	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12644.223	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12715.735	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12745.636	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13140.729	0.720169	196.945
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12689.919	0.926832	167.103
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12970.592	0.329374	63.426
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12905.851	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13075.842	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12895.721	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12844.273	0.668809	135.878
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13029.553	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12916.406	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13014.308	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12966.027	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13000.916	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12932.107	0.000001	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12958.407	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12912.596	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	13783.918	0.000002	0.001
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12824.472	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12753.639	0.000002	0.000
ENSG00000257923|ENST00000292535|CUX1|protein_coding|protein_coding	13747	12751.485	0.000001	0.000
